verkiezing;gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip;total_counted;cast;votes_ongeldig;votes_blanco;VVD;Partij van de Arbeid (P.v.d.A.);CDA;Baarnse Onafhankelijke Partij (BOP);D66;GROENLINKS;ChristenUnie-SGP;LTS (Lijst Tinus Snyders);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);50PLUS;Partij voor de Dieren;Vrijzinnige Partij;Provincie@Inwonersbelangen;Libertarische Partij (LP);JEZUS LEEFT;OndernemersPartij;VNL (VoorNederland);DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;StemNL;MenS en Spirit / Basisinkomen Partij / V-R;VoorBaarn;U26 GEMEENTEN;GROENLINKS / Partij van de Arbeid (PvdA);Volt;JA21;BBB;BIJ1;Piratenpartij - De Groenen;BVNL / Groep Van Haga;Nieuw Sociaal Contract;Splinter;LP (Libertaire Partij);LEF - Voor de Nieuwe Generatie;Samen voor Nederland;Nederland met een PLAN;PartijvdSport;Politieke Partij voor Basisinkomen
2022_gr;Baarn;308;0308::SB16;Stembureau NS station (maandag);3743 KM;579;1109;0;0;163;67;56;0;61;57;0;0;0;0;22;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022_gr;Baarn;308;0308::SB17;Stembureau Gemeentehuis Baarn (dinsdag);3743 BA;841;1109;2;2;116;93;90;0;90;112;0;0;0;0;36;0;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2022_gr;Baarn;308;0308::SB18;Stembureau NS station (dinsdag);3743 KM;696;1109;0;3;173;61;78;0;80;100;0;0;0;0;22;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2023_tk;Baarn;308;0308::SB1;Stembureau Gemeentehuis Baarn (Stationsweg);3743 EN;1313;0;4;1;298;0;60;0;125;0;0;0;187;15;9;10;9;39;0;0;0;0;0;0;31;0;33;0;0;0;0;0;0;0;0;0;255;31;11;35;1;1;6;148;3;0;1;3;0;1;1
2023_tk;Baarn;308;0308::SB2;Stembureau Gemeentehuis Baarn (Laanstraat);3743 BE;1388;0;6;6;314;0;47;0;164;0;0;0;160;41;27;12;11;46;0;0;0;0;0;0;15;0;18;0;0;0;0;0;0;0;0;0;285;31;10;38;2;1;6;155;1;1;3;0;0;0;0
2023_tk;Baarn;308;0308::SB3;Stembureau Maria Koningin Kerk;3742 XM;1669;0;2;2;250;0;51;0;103;0;0;0;323;76;39;18;18;49;0;0;0;0;0;0;11;0;30;0;0;0;0;0;0;0;0;0;369;27;8;51;4;1;10;224;3;1;0;0;1;0;2
2023_tk;Baarn;308;0308::SB4;Stembureau Gebouw De Pool;3742 RL;1349;0;1;3;170;0;33;0;81;0;0;0;377;50;33;8;25;26;0;0;0;0;0;0;51;0;31;0;0;0;0;0;0;0;0;0;222;19;10;42;2;3;6;154;3;1;0;0;0;2;0
2023_tk;Baarn;308;0308::SB5;Stembureau NS station (pleinzijde);3743 KM;1536;0;4;3;516;0;71;0;189;0;0;0;149;21;18;4;9;51;0;0;0;0;0;0;6;0;26;0;0;0;0;0;0;0;0;0;239;42;11;25;6;1;9;135;5;0;2;0;0;1;0
2023_tk;Baarn;308;0308::SB6;Stembureau NS Station (spoorzijde);3743 KM;1109;0;2;0;316;0;44;0;132;0;0;0;105;20;17;1;1;37;0;0;0;0;0;0;11;0;24;0;0;0;0;0;0;0;0;0;205;35;16;18;1;1;5;115;2;1;1;0;0;1;0
2023_tk;Baarn;308;0308::SB7;Stembureau Gebouw Elan;3742 SJ;960;0;1;2;208;0;28;0;82;0;0;0;162;32;27;8;9;37;0;0;0;0;0;0;4;0;14;0;0;0;0;0;0;0;0;0;173;26;6;19;3;0;3;109;6;0;2;0;0;1;1
2023_tk;Baarn;308;0308::SB8;Stembureau De Speeldoos;3741 TA;2085;0;2;3;401;0;63;0;187;0;0;0;384;57;37;13;26;60;0;0;0;0;0;0;31;0;60;0;0;0;0;0;0;0;0;0;368;33;17;54;4;2;17;261;4;3;1;2;0;0;0
2023_tk;Baarn;308;0308::SB9;Stembureau De Blinkert;3741 BE;1353;0;3;4;225;0;36;0;100;0;0;0;271;37;45;34;3;29;0;0;0;0;0;0;55;0;28;0;0;0;0;0;0;0;0;0;231;30;18;40;3;1;4;160;3;0;0;0;0;0;0
2023_tk;Baarn;308;0308::SB10;Stembureau Berg en Dal (Apostolisch Genootschap);3743 AR;989;0;0;2;323;0;39;0;135;0;0;0;84;9;18;15;6;19;0;0;0;0;0;0;3;0;14;0;0;0;0;0;0;0;0;0;162;17;8;19;0;0;3;114;0;0;0;0;0;0;1
2023_tk;Baarn;308;0308::SB11;Stembureau Santvoorde;3741 VJ;1379;0;5;0;215;0;50;0;68;0;0;0;345;38;40;19;23;30;0;0;0;0;0;0;31;0;34;0;0;0;0;0;0;0;0;0;189;22;10;57;2;2;11;183;2;2;1;1;1;2;1
2023_tk;Baarn;308;0308::SB12;Stembureau Dorpshuis de Furs;3749 AA;293;0;2;1;79;0;7;0;26;0;0;0;46;11;0;11;1;10;0;0;0;0;0;0;1;0;12;0;0;0;0;0;0;0;0;0;35;0;3;13;0;0;3;34;0;0;0;0;1;0;0
2023_tk;Baarn;308;0308::SB13;Stembureau Sherpa (bijzonder stemlokaal);3744 MN;83;0;1;0;6;0;4;0;9;0;0;0;16;5;3;2;0;5;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;18;1;0;3;1;0;0;8;0;0;0;0;0;0;0
